playlist_key,display_name,is_catalog,playlist_type,dashboard_url,sot_playlist_id,sot_dashboard_name,min_rows
releases,Releases,true,Catalog,https://www.spotontrack.com/dashboard/38,16042694,Releases,500
ext,ext,true,Catalog,https://www.spotontrack.com/dashboard/39,16042695,ext,200
gahara_records_releases,Gahara Records Releases,false,Label,https://www.spotontrack.com/dashboard/40,9794571,Gahara Records Releases,
groove_bassment_releases,Groove Bassment Releases,false,Label,https://www.spotontrack.com/dashboard/41,7042526,Groove Bassment Releases,
p_total,P Total,false,Entity,https://www.spotontrack.com/dashboard/42,16033458,P Total,
tg_total,TG Total,false,Entity,https://www.spotontrack.com/dashboard/43,16033459,TG Total,
final_haus_releases,Final Haus Releases,false,Label,https://www.spotontrack.com/dashboard/80,9340661,Final Haus Releases,
p_routenote,P RouteNote,false,Distro,https://www.spotontrack.com/dashboard/81,16042188,P RouteNote,
p_release,P Releese,false,Distro,https://www.spotontrack.com/dashboard/82,16042189,P Releese,
tg_amuse,TG Amuse,false,Distro,https://www.spotontrack.com/dashboard/83,16042190,TG Amuse,
tg_emubands,TG EmuBands,false,Distro,https://www.spotontrack.com/dashboard/84,16042191,TG EmuBands,
tg_imusician,TG iMusician,false,Distro,https://www.spotontrack.com/dashboard/85,16042192,TG iMusician,
tg_toolost,TG Too Lost,false,Distro,https://www.spotontrack.com/dashboard/86,16042193,TG Too Lost,
tg_offstep,TG OFFstep,false,Distro,https://www.spotontrack.com/dashboard/87,16042194,TG OFFstep,
fh_offstep,FH OFFstep,false,Distro,https://www.spotontrack.com/dashboard/88,16042195,FH OFFstep,
gb_routenote,GB RouteNote,false,Distro,https://www.spotontrack.com/dashboard/89,16042198,GB RouteNote,
ghr_emubands,GHR EmuBands,false,Distro,https://www.spotontrack.com/dashboard/90,16042199,GHR EmuBands,
tps_emubands,TPS EmuBands,false,Distro,https://www.spotontrack.com/dashboard/91,16042200,TPS EmuBands,
sonomo,Sonomo,false,Distro,https://www.spotontrack.com/dashboard/92,16042201,Sonomo,
masafi_amuse,Masafi Amuse,false,Distro,https://www.spotontrack.com/dashboard/93,16042202,Masafi Amuse,
tgm_amuse,TGM Amuse,false,Distro,https://www.spotontrack.com/dashboard/4235,16365783,TGM Amuse,25
